,id,freq,roi,deg
531,GenZ_123_9a,gamma2,35,0.0
532,GenZ_124_9a,DC,0,0.0
533,GenZ_124_9a,DC,2,0.0
534,GenZ_124_9a,DC,3,0.0
535,GenZ_124_9a,DC,35,0.0
536,GenZ_124_9a,delta,0,0.0
537,GenZ_124_9a,delta,2,0.0
538,GenZ_124_9a,delta,3,0.0
539,GenZ_124_9a,delta,35,0.0
540,GenZ_124_9a,theta,0,0.0
541,GenZ_124_9a,theta,2,0.0
542,GenZ_124_9a,theta,3,0.0
543,GenZ_124_9a,theta,35,0.0
544,GenZ_124_9a,alpha,0,0.0
545,GenZ_124_9a,alpha,2,0.0
546,GenZ_124_9a,alpha,3,0.0
547,GenZ_124_9a,alpha,35,0.0
548,GenZ_124_9a,beta,0,0.0
549,GenZ_124_9a,beta,2,0.0
550,GenZ_124_9a,beta,3,0.0
551,GenZ_124_9a,beta,35,0.0
552,GenZ_124_9a,gamma,0,0.0
553,GenZ_124_9a,gamma,2,0.0
554,GenZ_124_9a,gamma,3,0.0
555,GenZ_124_9a,gamma,35,0.0
556,GenZ_124_9a,gamma2,0,0.0
557,GenZ_124_9a,gamma2,2,0.0
558,GenZ_124_9a,gamma2,3,0.0
559,GenZ_124_9a,gamma2,35,0.0
560,GenZ_125_9a,DC,0,0.0
561,GenZ_125_9a,DC,2,0.0
562,GenZ_125_9a,DC,3,0.0
563,GenZ_125_9a,DC,35,0.0
564,GenZ_125_9a,delta,0,0.0
565,GenZ_125_9a,delta,2,0.0
566,GenZ_125_9a,delta,3,0.0
567,GenZ_125_9a,delta,35,0.0
568,GenZ_125_9a,theta,0,0.0
569,GenZ_125_9a,theta,2,0.0
570,GenZ_125_9a,theta,3,0.0
571,GenZ_125_9a,theta,35,0.0
572,GenZ_125_9a,alpha,0,0.0
573,GenZ_125_9a,alpha,2,0.0
574,GenZ_125_9a,alpha,3,0.0
575,GenZ_125_9a,alpha,35,0.0
576,GenZ_125_9a,beta,0,0.0
577,GenZ_125_9a,beta,2,0.0
578,GenZ_125_9a,beta,3,0.0
579,GenZ_125_9a,beta,35,0.0
580,GenZ_125_9a,gamma,0,0.0
581,GenZ_125_9a,gamma,2,0.0
582,GenZ_125_9a,gamma,3,0.0
583,GenZ_125_9a,gamma,35,0.0
584,GenZ_125_9a,gamma2,0,0.0
585,GenZ_125_9a,gamma2,2,0.0
586,GenZ_125_9a,gamma2,3,0.0
587,GenZ_125_9a,gamma2,35,0.0
588,GenZ_126_9a,DC,0,0.0
589,GenZ_126_9a,DC,2,0.0
590,GenZ_126_9a,DC,3,0.0
591,GenZ_126_9a,DC,35,0.0
592,GenZ_126_9a,delta,0,0.0
593,GenZ_126_9a,delta,2,0.0
594,GenZ_126_9a,delta,3,0.0
595,GenZ_126_9a,delta,35,0.0
596,GenZ_126_9a,theta,0,0.0
597,GenZ_126_9a,theta,2,0.0
598,GenZ_126_9a,theta,3,0.0
599,GenZ_126_9a,theta,35,0.0
600,GenZ_126_9a,alpha,0,0.0
601,GenZ_126_9a,alpha,2,0.0
602,GenZ_126_9a,alpha,3,0.0
603,GenZ_126_9a,alpha,35,0.0
604,GenZ_126_9a,beta,0,0.0
605,GenZ_126_9a,beta,2,0.0
606,GenZ_126_9a,beta,3,0.0
607,GenZ_126_9a,beta,35,0.0
608,GenZ_126_9a,gamma,0,0.0
609,GenZ_126_9a,gamma,2,0.0
610,GenZ_126_9a,gamma,3,0.0
611,GenZ_126_9a,gamma,35,0.0
612,GenZ_126_9a,gamma2,0,0.0
